year	doy	hour	ch4_h	std
2015	252	9	0.0042	0.0042
2015	283	9	0.0054	0.0054
2015	284	10	0.0042	0.0042
2015	324	9	0.0011	0.0011
2016	83	9	2.00E-04	2.00E-04
2016	133	12	7.00E-04	7.00E-04
2016	133	13	8.00E-04	8.00E-04
2016	134	12	2.00E-04	2.00E-04
2016	168	10	3.00E-04	3.00E-04
2016	168	14	0.0016	0.0016
2016	199	11	0.0036	0.0036
2016	200	10	0.0224	0.0224
2016	252	10	0.004	0.004
2016	252	13	0.0164	0.0164
2016	292	9	0.0145	0.0145
2016	293	9	0.0089	0.0089
2016	293	12	0.0022	0.0022
2017	109	8	7.00E-04	7.00E-04
2017	109	9	6.00E-04	6.00E-04
2017	109	14	2.00E-04	2.00E-04
2017	124	8	0.0033	0.0033
2017	125	9	0.0014	0.0014
2017	171	8	0.0054	0.0054
2017	173	9	0.0068	0.0068
2017	199	9	0.0137	0.0137
2017	241	9	0.0084	0.0084
2017	263	11	0.013	0.013
2017	264	10	0.0074	0.0074
2017	298	9	0.0106	0.0106
2018	131	8	4.00E-04	4.00E-04
2018	131	13	0.0014	0.0014
2018	159	8	9.00E-04	9.00E-04
2018	160	11	0.0022	0.0022
2018	198	9	0.0132	0.0132
2018	213	10	0.0127	0.0127
2018	214	12	0.0083	0.0083
2018	262	12	0.0187	0.0187
