year	doy	hour	gpp_d	std
2013	205	24	10.8881	10.8881
2013	262	24	1.4358	1.4358
2013	303	24	0.6005	0.6005
2015	253	24	6.2297	0.2285
2015	285	24	4.0377	1.7209
2015	325	24	1.2135	1.2135
2016	135	24	4.1569	2.0702
2016	170	24	12.2884	0.1852
2016	201	24	11.9615	11.9615
2016	254	24	7.9805	0.2317
2016	295	24	1.85	0.0671
2017	125	24	5.3771	0.6571
2017	174	24	14.1265	1.0855
2017	200	24	15.1154	1.1222
2017	242	24	7.3969	0.3586
2017	265	24	6.7005	0.1527
2018	132	24	4.0927	1.7423
2018	161	24	3.3484	0.3223
2018	215	24	7.3723	0.7628
2018	263	24	3.3251	0.8471
