year	doy	hour	gpp	gpp_sd
2015	252	9	0.2596	0.2596
2015	283	9	0.1498	0.1498
2015	284	10	0.1682	0.1682
2015	324	9	0.0471	0.0471
2016	133	12	0.1122	0.1122
2016	133	13	0.2342	0.2342
2016	134	12	0.1031	0.1031
2016	168	10	0.305	0.305
2016	168	14	0.512	0.512
2016	200	10	0.5099	0.5099
2016	252	10	0.2664	0.2664
2016	252	13	0.3325	0.3325
2016	292	9	0.1321	0.1321
2016	293	9	0.0771	0.0771
2016	293	12	0.1055	0.1055
2017	109	14	0.1437	0.1437
2017	124	8	0.224	0.224
2017	125	9	0.2502	0.2502
2017	171	8	0.312	0.312
2017	173	9	0.5886	0.5886
2017	199	9	0.6298	0.6298
2017	201	13	0.5662	0.5662
2017	241	9	0.3082	0.3082
2017	241	11	0.468	0.468
2017	263	11	0.4807	0.4807
2017	264	10	0.2792	0.2792
2017	298	9	0.0544	0.0544
2018	131	8	0.1322	0.1322
2018	131	13	0.1848	0.1848
2018	159	8	0.1554	0.1554
2018	160	11	0.1559	0.1559
2018	198	9	0.3337	0.3337
2018	213	10	0.4875	0.4875
2018	214	12	0.3072	0.3072
2018	261	12	0.2341	0.2341
2018	262	12	0.1385	0.1385
