year	doy	hour	NEE_d	std
2013	205	24	-6.3599	6.3599
2013	262	24	2.9471	2.9471
2013	303	24	0.3604	0.3604
2015	253	24	-2.0558	0.2549
2015	285	24	-1.4662	0.3141
2015	325	24	0.2263	0.2263
2016	135	24	-2.6634	1.9695
2016	170	24	-4.1003	0.919
2016	201	24	-7.1748	7.1748
2016	254	24	-5.0797	0.0104
2016	295	24	-1.0525	0.1376
2017	125	24	-3.6403	0.0038
2017	174	24	-8.7898	0.8574
2017	200	24	-9.4644	0.03
2017	242	24	-2.9372	0.7298
2017	265	24	-4.3624	0.223
2018	132	24	-3.1539	1.3416
2018	161	24	-1.0535	0.0624
2018	215	24	-2.1796	0.1243
2018	263	24	0.1286	0.4886
