year	doy	hour	reco_d	std
2013	205	24	4.5282	4.5282
2013	262	24	4.3829	4.3829
2013	303	24	0.9609	0.9609
2015	253	24	4.1739	0.4834
2015	285	24	2.5714	1.4068
2015	325	24	1.4398	1.4398
2016	135	24	1.4935	0.1007
2016	170	24	8.1881	0.7338
2016	201	24	4.7867	4.7867
2016	254	24	2.9008	0.2213
2016	295	24	0.7975	0.0705
2017	125	24	1.7368	0.6609
2017	174	24	5.3366	0.2281
2017	200	24	5.651	1.1521
2017	242	24	4.4597	0.3712
2017	265	24	2.3381	0.3757
2018	132	24	0.9388	0.4007
2018	161	24	2.2949	0.2598
2018	215	24	5.1927	0.8871
2018	263	24	3.4536	0.3585
