year	doy	hour	reco_h	std
2015	252	9	0.1739	0.1739
2015	283	9	0.1058	0.1058
2015	284	10	0.1071	0.1071
2015	324	9	0.06	0.06
2016	133	12	0.0593	0.0593
2016	133	13	0.0652	0.0652
2016	134	12	0.0368	0.0368
2016	168	10	0.1887	0.1887
2016	168	14	0.3412	0.3412
2016	200	10	0.2659	0.2659
2016	252	10	0.1602	0.1602
2016	252	13	0.1209	0.1209
2016	292	9	0.0946	0.0946
2016	293	9	0.0332	0.0332
2016	293	12	0.0514	0.0514
2017	109	14	0.0515	0.0515
2017	124	8	0.0724	0.0724
2017	125	9	0.1377	0.1377
2017	171	8	0.1537	0.1537
2017	173	9	0.2224	0.2224
2017	199	9	0.2355	0.2355
2017	201	13	0.393	0.393
2017	241	9	0.1858	0.1858
2017	241	11	0.3105	0.3105
2017	263	11	0.1813	0.1813
2017	264	10	0.0974	0.0974
2017	298	9	0.0374	0.0374
2018	131	8	0.1241	0.1241
2018	131	13	0.0534	0.0534
2018	159	8	0.1486	0.1486
2018	160	11	0.112	0.112
2018	198	9	0.195	0.195
2018	213	10	0.2283	0.2283
2018	214	12	0.2164	0.2164
2018	261	12	0.1223	0.1223
2018	262	12	0.1439	0.1439
